,Bahan
0,"['cabai rawit merah', 'kelapa', 'ayam', 'andaliman', 'daun jeruk', 'jeruk nipis', 'jahe', 'kunyit', 'putih', 'bawang putih', 'bawang merah', 'serai', 'lengkuas']"
1,"['tepung terigu', 'cabai bubuk', 'seledri', 'tepung tapioka', 'kaldu bubuk', 'bawang putih']"
2,"['tauge', 'kelapa', 'kacang tanah', 'kangkung', 'kacang', 'terong', 'cabai merah', 'cabai rawit', 'kemiri', 'bawang putih', 'merah', 'kencur']"
3,"['tepung terigu', 'putih telur', 'kuning telur', 'coklat bubuk', 'cokelat']"
4,"['tepung maizena', 'pasta', 'susu bubuk', 'telur', 'moka', 'strawberry', 'coklat bubuk', 'margarin', 'emulsifier']"
5,"['asam jawa', 'lengkuas', 'daun salam', 'cabai merah', 'cabai rawit', 'kaldu bubuk', 'bawang merah', 'serai', 'bawang putih', 'merah', 'daging sapi']"
6,"['tepung maizena', 'pasta', 'cooking', 'x', 'susu bubuk', 'telur', 'vla', 'pandan', 'kulit pastry', 'dark', 'tepung maizena', 'chocolate', 'cokelat', 'margarin', 'emulsifier', 'susu full cream']"
7,"['gaplek', 'kelapa', 'kering', 'singkong']"
8,"['kelapa', 'bawang', 'lengkuas', 'kacang', 'cabai merah', 'cabai rawit', 'kunyit', 'jahe', 'ayam', 'kemiri', 'bawang putih', 'bawang merah', 'serai', 'kencur']"
9,"['telur ayam', 'kayu manis', 'bunga lawang', 'cengkeh', 'daun kari', 'tepung', 'kentang', 'kapulaga', 'daging sapi']"
10,"['terasi', 'tauge', 'kelapa', 'daun jeruk', 'beras jagung', 'kacang', 'ikan asin', 'cabai merah', 'cabai rawit', 'tahu', 'beras', 'putih', 'kencur', 'sambal terasi', 'tempe']"
11,"['beras ketan', 'jus', 'santan', 'pandan', 'kental']"
12,"['kelapa', 'beras ketan', 'daun jeruk', 'asam jawa', 'lengkuas', 'daun salam', 'santan', 'pandan', 'bawang putih', 'bawang merah', 'serai', 'merah', 'ketumbar']"
13,"['telur ayam', 'bawang merah', 'ketumbar bubuk', 'lada bubuk', 'lengkuas', 'kecap manis', 'jahe', 'lemak sapi', 'putih', 'jintan', 'bawang putih', 'sate', 'serai', 'daging sapi']"
14,"['tepung terigu', 'buah cherry', 'putih telur', 'kuning telur', 'cream of tartar', 'susu']"
15,"['pasta coklat', 'tepung terigu', 'susu kental manis', 'telur', 'pisang ambon', 'putih', 'choco chips', 'coklat bubuk', 'pisang', 'krim', 'emulsifier', 'baking powder']"
16,"['pasta coklat', 'telur', 'butter', 'diblender', 'coklat bubuk', 'margarin', 'emulsifier', 'baking powder']"
17,"['tepung maizena', 'pasta', 'keju', 'susu kental manis', 'tiramisu', 'kuning telur', 'putih', 'susu full cream']"
18,"['pasta mocca', 'sayur', 'pasta coklat', 'tepung terigu', 'telur', 'essence vanilla', 'santan', 'sp', 'emulsifier', 'baking powder']"
19,"['cabai rawit merah', 'biar', 'daun jeruk', 'santan', 'kaldu ayam bubuk', 'daun bawang', 'kemiri', 'bawang putih', 'bawang merah', 'serai', 'tutut']"
20,"['tepung maizena', 'tepung terigu', 'rebon', 'merica bubuk', 'santan', 'kaldu ayam bubuk', 'udang', 'bawang putih', 'kucai', 'teri medan', 'baking powder', 'tepung beras']"
21,"['cabai rawit merah', 'bawang merah', 'jeruk nipis', 'cabai rawit hijau']"
22,"['cabai rawit merah', 'kacang tanah', 'cuka', 'bawang putih', 'merah']"
23,"['tepung terigu', 'telur', 'pisang ambon', 'choco chips', 'coklat bubuk', 'pisang', 'emulsifier', 'baking powder']"
24,"['tepung maizena', 'keju', 'telur', 'susu bubuk', 'margarin', 'emulsifier']"
