,Bahan,count
0,cabai rawit merah,88
1,kelapa,104
2,ayam,165
3,andaliman,4
4,daun jeruk,201
5,jeruk nipis,164
6,jahe,232
7,kunyit,130
8,putih,89
9,bawang putih,729
10,bawang merah,467
11,serai,228
12,lengkuas,210
13,tepung terigu,305
14,cabai bubuk,6
15,seledri,40
16,tepung tapioka,73
17,kaldu bubuk,119
18,tauge,35
19,kacang tanah,53
20,kangkung,14
21,kacang,40
22,terong,11
23,cabai merah,205
24,cabai rawit,151
25,kemiri,165
26,merah,222
27,kencur,49
28,putih telur,48
29,kuning telur,73
30,coklat bubuk,33
31,cokelat,41
32,tepung maizena,121
33,pasta,41
34,susu bubuk,51
35,telur,272
36,moka,1
37,strawberry,11
38,margarin,141
39,emulsifier,16
40,asam jawa,67
41,daun salam,219
42,daging sapi,129
43,cooking,18
44,x,1
45,vla,1
46,pandan,24
47,kulit pastry,2
48,dark,20
49,chocolate,17
50,susu full cream,18
51,gaplek,1
52,kering,40
53,singkong,22
54,bawang,27
55,telur ayam,36
56,kayu manis,61
57,bunga lawang,40
58,cengkeh,42
59,daun kari,8
60,tepung,20
61,kentang,51
62,kapulaga,29
63,terasi,63
64,beras jagung,1
65,ikan asin,3
66,tahu,15
67,beras,42
68,sambal terasi,5
69,tempe,35
70,beras ketan,11
71,jus,6
72,santan,228
73,kental,77
74,ketumbar,114
75,ketumbar bubuk,20
76,lada bubuk,84
77,kecap manis,173
78,lemak sapi,3
79,jintan,14
80,sate,26
81,buah cherry,6
82,cream of tartar,4
83,susu,115
84,pasta coklat,12
85,susu kental manis,65
86,pisang ambon,6
87,choco chips,8
88,pisang,12
89,krim,8
90,baking powder,68
91,butter,52
92,diblender,2
93,keju,28
94,tiramisu,1
95,pasta mocca,1
96,sayur,25
97,essence vanilla,2
98,sp,12
99,biar,12
100,kaldu ayam bubuk,36
101,daun bawang,192
102,tutut,1
103,rebon,2
104,merica bubuk,128
105,udang,81
106,kucai,2
107,teri medan,6
108,tepung beras,69
109,cabai rawit hijau,16
110,cuka,23
111,daun pandan,94
112,tahu putih,31
113,cabai merah keriting,106
114,kecap asin,69
115,saus sambal,31
116,lobak,3
117,ebi,26
118,abon ayam,1
119,kulit lumpia,10
120,abon sapi,2
121,saus tiram,117
122,cabai hijau,33
123,bel,1
124,teri,5
125,kulit melinjo,2
126,mentega,59
127,lemon,26
128,bubuk,115
129,pastry,3
130,filo,1
131,tepung ketan,18
132,aren,10
133,brown sugar,10
134,rekat,3
135,baking soda,16
136,kuning,19
137,warna,43
138,orange,3
139,tepung sagu,58
140,ikan tenggiri,26
141,giling,36
142,daun pisang,38
143,kaldu jamur,26
144,kelapa muda,19
145,kol,41
146,wortel,90
147,lada,70
148,kecap inggris,20
149,hitam,51
150,saus tomat,54
151,sosis,15
152,bawang bombay,136
153,vanilla,30
154,soft cream,1
155,shortening,1
156,ekstrak,7
157,masak,25
158,mayonaise,11
159,cabai,24
160,rebusan,6
161,madu,23
162,mineral,2
163,kacang almond,7
164,kerang hijau,4
165,kaldu udang,4
166,mie,44
167,gochugaru,2
168,kecap ikan,24
169,hijau,43
170,sawi,28
171,tim,1
172,bacem,1
173,kaldu jamur bubuk,3
174,cilok,1
175,bawang putih bubuk,15
176,kaldu sapi,17
177,whipping cream,19
178,meses,6
179,ragi,24
180,jamur kuping,11
181,bihun,8
182,dada ayam,48
183,keju cheddar,34
184,smoked beef,7
