,Ingredient1,Ingredient2,f_x,f_y,f_xy,pmi
7584,pulen,selongsong,1,3,1,10.021033523057756
1245,abon ayam,abon sapi,3,1,1,10.021033523057756
53674,puding,ramekin,3,1,1,10.021033523057756
14796,creamer,matcha powder,2,2,1,9.733351450605975
66717,swallow,white,1,6,1,9.327886342497811
17674,rennet,sitrat,2,3,1,9.327886342497811
66726,argar,biskuit marie regal,6,1,1,9.327886342497811
17677,renin,rennet,3,2,1,9.327886342497811
10030,wafer,whippng,1,6,1,9.327886342497811
18372,tulang kaki sapi,urat sapi,1,8,1,9.04020427004603
17673,renin,sitrat,3,3,1,8.922421234389645
17676,sitrat,susu sapi,1,9,1,8.922421234389645
23203,lenjer,pempek,5,2,1,8.81706071873182
19910,flour,kristal,5,2,1,8.81706071873182
41214,berwana,biru,10,1,1,8.81706071873182
3935,tetelan sapi,tulang rangu,1,10,1,8.81706071873182
19895,kristal,raising,4,3,1,8.634739161937866
11249,asi,kabocha,4,3,1,8.634739161937866
1722,shortening,soft cream,3,4,1,8.634739161937866
19892,raising,self,3,4,1,8.634739161937866
14293,dashi,miso,12,1,1,8.634739161937866
56154,asli,canola,13,1,1,8.55469645426433
25164,zest,zestnya,1,13,1,8.55469645426433
19894,flour,raising,5,3,1,8.411595610623655
304,vla,x,1,15,1,8.411595610623655
7365,zaitun,zukini,1,15,1,8.411595610623655
19298,chia,delima,8,2,1,8.347057089486084
62142,kolang kaling,raspberry,16,1,1,8.347057089486084
19907,kristal,self,4,4,1,8.347057089486084
8743,cappucino,cincau,4,4,1,8.347057089486084
61155,kuini,mangga kweni,2,8,1,8.347057089486084
17681,rennet,susu sapi,2,9,1,8.2292740538297
21778,susu kedelai,susu sapi,2,9,1,8.2292740538297
13816,pindang,salem,3,6,1,8.2292740538297
38972,asam gelugur,bunga pepaya,9,2,1,8.2292740538297
20270,tomat hijau,tulang jambal roti,2,9,1,8.2292740538297
11359,edamame,fishcake,19,1,1,8.175206832559425
56307,sponge,whipped,1,19,1,8.175206832559425
17490,garing,ikan salai,4,5,1,8.123913538171875
54953,roll,spring,2,10,1,8.123913538171875
8750,cappucino,saset,4,5,1,8.123913538171875
40088,tomat hijau,utuhkan,2,10,1,8.123913538171875
19906,flour,self,5,4,1,8.123913538171875
17493,ikan salai,sundai,3,7,1,8.075123374002443
49306,melinjo hijau,melinjo merah,2,11,1,8.02860335836755
54621,barang,bread improver,23,1,1,7.984151595796716
35170,abai,asam kandis,24,1,1,7.94159198137792
34018,pongtahu,sumedangtahu,3,8,1,7.94159198137792
11356,fishcake,shitake,6,4,1,7.94159198137792
62508,keras,oyong,3,8,1,7.94159198137792
12281,chicken katsu,indomie,6,4,1,7.94159198137792
8962,daun mint,soda,2,12,1,7.94159198137792
7450,pethek,tiwul,2,12,1,7.94159198137792
59960,sirih,telunjuk,2,12,1,7.94159198137792
66722,biskuit marie regal,swallow,5,5,1,7.900769986857664
17679,renin,susu sapi,3,9,1,7.823808945721536
