,Unnamed: 0,Ingredient1,Ingredient2,f_x,f_y,f_xy,pmi
21788,3423,bawang merah,tepung maizena,4710,931,1,-4.174056652561665
21787,49139,bawang merah,susu,4710,708,1,-3.900241468978318
21786,42931,bawang bombay,santan,1442,1768,1,-3.6317447493166175
21785,42901,bawang merah,susu kental manis,4710,403,1,-3.3367339372312808
21784,58916,bawang bombay,kemiri,1442,1193,1,-3.238366928216945
21783,45242,bawang merah,susu bubuk,4710,330,1,-3.136890029745124
21782,64502,daun salam,tepung maizena,1460,931,1,-3.002805180253584
21781,13720,bawang putih,susu kental manis,6536,403,2,-2.971224206200711
21780,30082,daun salam,tepung terigu,1460,2348,3,-2.829252795256394
21779,11035,cabai merah,susu,1597,708,1,-2.8186804301828667
21778,49330,bawang merah,kuning telur,4710,223,1,-2.744969146744717
21777,60890,bunga lawang,tepung terigu,445,2348,1,-2.739747651388362
21776,64503,daun salam,susu,1460,708,1,-2.7289899966702365
21775,23129,jahe,susu,1371,708,1,-2.666093961530169
21774,43936,kuning telur,serai,393,2467,1,-2.6649219166727525
21773,60607,bunga lawang,telur,445,2156,1,-2.6544384024692627
21772,34870,baking powder,lengkuas,538,1774,1,-2.649204911305444
21770,2265,hitam,serai,379,2467,1,-2.6286485098859176
21769,7683,daun jeruk,margarin,1506,619,1,-2.6256718693185697
21768,13996,bubuk,saus tiram,995,933,1,-2.6215021262800717
21767,23719,kemiri,tepung terigu,780,2348,2,-2.607820108345814
21766,66233,daun salam,margarin,1460,619,1,-2.5946511756611126
21765,13730,bawang putih,whipping cream,6536,135,1,-2.5707096032524026
21764,26236,margarin,serai,664,2467,2,-2.49624727371998
21763,53660,butter,santan,453,1768,1,-2.473850556954757
21762,41074,baking powder,tomat,538,1487,1,-2.472728694896074
21761,9759,kecap asin,lengkuas,440,1774,1,-2.448121078055966
21759,2260,bawang bombay,kunyit,1442,1065,2,-2.431723403702609
21758,39794,daun pandan,tomat,506,1487,1,-2.411406804021756
21756,10714,bawang putih,susu full cream,6536,112,1,-2.383933696109068
21755,7680,daun jeruk,tepung maizena,1506,931,2,-2.3406786933510952
21754,52219,asam jawa,wortel,710,983,1,-2.3362282784566624
21753,19130,batu,tepung terigu,290,2348,1,-2.3115542922026413
21752,57390,butter,tomat,453,1487,1,-2.3007622602173234
21751,38625,cabai rawit,margarin,1087,619,1,-2.29963634807994
21750,48965,hitam,lengkuas,379,1774,1,-2.298882556226086
21749,11184,asam jawa,saus tiram,710,933,1,-2.2840243591568394
21747,34885,ayam,tepung beras,1727,369,1,-2.2452919104613405
21746,19136,batu,telur,290,2156,1,-2.226245043283542
21744,28653,daging sapi,terasi,1037,592,1,-2.207948031387668
21743,37403,kecap manis,susu,858,708,1,-2.197402381455817
21742,41798,daun kemangi,tepung terigu,256,2348,1,-2.186850813701684
21741,43919,daun jeruk,tepung sagu,1506,396,1,-2.178980807888454
21740,25348,cokelat,santan,334,1768,1,-2.169099424448424
21739,26412,daun jeruk,tepung terigu,1506,2348,6,-2.1671263083539056
21738,64491,daun salam,susu kental manis,1460,403,1,-2.1654824649231994
21736,34872,baking powder,kunyit,538,1065,1,-2.138942826579445
21735,51115,ayam,tempe,1727,328,1,-2.1275088748049567
21734,33177,asam jawa,tepung terigu,710,2348,3,-2.108326050589373
21733,8998,jahe,susu kental manis,1371,403,1,-2.102586429783132
21732,8601,bawang putih,tawar,6536,167,2,-2.090281456670783
21731,1453,jahe,tepung sagu,1371,396,1,-2.0850640790909294
21730,6697,kecap asin,serai,440,2467,2,-2.084739851155853
21729,33732,cabai rawit merah,tepung maizena,582,931,1,-2.0830839132826395
21728,49206,butter,kemiri,453,1193,1,-2.0804727358550847
21727,56023,baking powder,merica,538,988,1,-2.063895446183787
21726,691,bawang putih,pandan,6536,81,1,-2.059883979486412
21725,64436,baking powder,wortel,538,983,1,-2.058821868583085
21722,2270,bawang bombay,serai,1442,2467,7,-2.0189884735930725
21721,19865,cabai rawit,tepung maizena,1087,931,2,-2.0146431721124656
21720,12386,kemiri,wijen,780,646,1,-2.0104476117403736
21719,5745,asam jawa,putih,710,709,1,-2.009474684841623
21718,9748,daun jeruk,kecap asin,1506,332,1,-2.002701565550462
21717,39796,daun pandan,merica,506,988,1,-2.002573555309468
21716,63538,ayam,sedap,1727,281,1,-1.972849935754559
21714,20982,kemiri,margarin,780,619,1,-1.967753380642368
21713,15155,dada ayam,serai,388,2467,2,-1.9589704638668195
21711,59005,mentega,santan,263,1768,1,-1.930112463649488
21710,63014,bawang bombay,muda,1442,322,1,-1.9286920516634367
21708,40032,bawang,tomat,307,1487,1,-1.9117178823214869
21707,2037,cabai rawit merah,tepung terigu,582,2348,3,-1.9095315282854497
21706,5300,biji,tepung terigu,581,2348,3,-1.9078118374059232
21705,5637,jahe,susu bubuk,1371,330,1,-1.902742522296975
21704,49028,hitam,kemiri,379,1193,1,-1.902116815454477
21702,60081,jahe,tempe,1371,328,1,-1.8966634762205927
21701,1342,kapulaga,tepung terigu,191,2348,1,-1.8939467972687516
21699,23255,butter,wortel,453,983,1,-1.886855433904335
21698,23073,cabai merah,mentega,1597,276,1,-1.876637202206297
21697,34866,coklat bubuk,santan,247,1768,1,-1.8673467680997005
21696,60263,cabai merah,putih telur,1597,273,1,-1.8657081316741069
21690,1512,ebi,serai,170,2467,1,-1.826910741853753
21689,52182,cabai merah keriting,wortel,851,983,2,-1.8242282564347296
21688,3250,daging sapi,susu kental manis,1037,403,1,-1.823377958450345
21687,5299,cabai merah,tepung terigu,1597,2348,9,-1.820330940100915
21685,61372,cabai rawit,kayu manis,1087,377,1,-1.803776262843355
21683,5645,cengkeh,telur,379,2156,2,-1.8007531448255032
21680,1980,ketumbar,saus tiram,434,933,1,-1.7918039232218832
21679,2258,hitam,kunyit,379,1065,1,-1.7886204715000864
21678,7892,kemiri,saus tomat,780,515,1,-1.783815008621508
21677,3924,cabai merah keriting,tepung terigu,851,2348,5,-1.7786475853613954
21675,38586,cabai rawit,pala bubuk,1087,365,1,-1.7714284289778357
21674,25014,kaldu ayam,santan,222,1768,1,-1.7606358133440023
21673,40585,putih telur,serai,159,2467,1,-1.7600165070237226
21670,25612,daging sapi,tepung beras,1037,369,1,-1.7352380405441892
21668,32956,cabai rawit merah,wijen,582,646,1,-1.7176241397881742
21667,64485,keju cheddar,santan,212,1768,1,-1.7145447061437358
21666,57388,butter,merica bubuk,453,827,1,-1.7140510087808598
21664,11134,asam jawa,lada bubuk,710,519,1,-1.6975230414753844
21662,23710,kemiri,tepung maizena,780,931,2,-1.6827602046748935
21661,18130,kacang,tomat,243,1487,1,-1.677931578074838
21660,18522,bawang,tepung terigu,307,2348,2,-1.6753739362493736
21659,56069,cabai rawit merah,margarin,582,619,1,-1.6749299086901683
21658,40634,daun bawang,kelapa,1463,490,2,-1.669856799838986
21657,7996,batu,serai,290,2467,2,-1.6678460472240657
21656,11028,cabai merah,kuning telur,1597,223,1,-1.6634081079492655
21655,29525,bakso,merah,233,1527,1,-1.6624529470584677
21654,57491,kunyit,tepung maizena,380,931,1,-1.6567847182716329
21653,32305,cengkeh,saus tiram,379,933,1,-1.6562955942039048
21651,21204,cabai rawit,wijen,1087,646,2,-1.6491833986180005
21650,52803,bubuk,tauge,995,349,1,-1.6381688476351546
21649,46430,kelapa,susu,487,708,1,-1.631062405050444
21648,16666,hijau,kunyit,323,1065,1,-1.6287365896403163
21647,11801,ayam,pasta,1727,199,1,-1.6278000911453054
21646,13388,kecap ikan,serai,138,2467,1,-1.618365989960696
21645,32381,daging sapi,tempe,1037,328,1,-1.6174550048878056
21643,7993,batu,jahe,290,1169,1,-1.6141390727267226
21640,36636,cabai merah keriting,tepung sagu,851,396,1,-1.6081805281019892
21639,15321,jeruk nipis,susu kental manis,836,403,1,-1.607919363305519
21636,14044,kaldu jamur,tepung terigu,141,2348,1,-1.59043325960029
21635,37682,jeruk nipis,tepung sagu,836,396,1,-1.590397012613317
21634,1163,beras,tepung maizena,353,931,1,-1.5830815224844983
21633,51568,cuka,santan,185,1768,1,-1.578314256550048
21631,2382,bubuk,tempe,995,328,1,-1.576110533816871
21629,55828,kuning telur,udang,393,823,1,-1.5671200008204655
21628,42303,bubuk,muda,995,322,1,-1.5576484709771357
21626,36814,jeruk nipis,kayu manis,836,377,1,-1.541227988806847
21625,49125,bunga lawang,susu,445,708,1,-1.5408725641340946
21623,39084,cabai merah keriting,pala bubuk,851,365,1,-1.5266636704300005
21622,62995,cabai merah keriting,warna,851,365,1,-1.5266636704300005
21621,47225,dada ayam,ketumbar,388,800,1,-1.5259712555653353
