,Unnamed: 0,Ingredient1,Ingredient2,f_x,f_y,f_xy,pmi
0,7584,pulen,selongsong,1,3,1,10.021033523057756
2,53674,puding,ramekin,3,1,1,10.021033523057756
1,1245,abon ayam,abon sapi,3,1,1,10.021033523057756
3,14796,creamer,matcha powder,2,2,1,9.733351450605976
7,17677,renin,rennet,3,2,1,9.327886342497813
8,10030,wafer,whippng,1,6,1,9.327886342497813
4,66717,swallow,white,1,6,1,9.327886342497813
6,66726,argar,biskuit marie regal,6,1,1,9.327886342497813
5,17674,rennet,sitrat,2,3,1,9.327886342497813
9,18372,tulang kaki sapi,urat sapi,1,8,1,9.04020427004603
11,17676,sitrat,susu sapi,1,9,1,8.922421234389645
10,17673,renin,sitrat,3,3,1,8.922421234389645
12,23203,lenjer,pempek,5,2,1,8.81706071873182
14,41214,berwana,biru,10,1,1,8.81706071873182
15,3935,tetelan sapi,tulang rangu,1,10,1,8.81706071873182
13,19910,flour,kristal,5,2,1,8.81706071873182
16,19895,kristal,raising,4,3,1,8.634739161937866
17,11249,asi,kabocha,4,3,1,8.634739161937866
18,1722,shortening,soft cream,3,4,1,8.634739161937866
19,19892,raising,self,3,4,1,8.634739161937866
20,14293,dashi,miso,12,1,1,8.634739161937866
21,56154,asli,canola,13,1,1,8.55469645426433
22,25164,zest,zestnya,1,13,1,8.55469645426433
23,19894,flour,raising,5,3,1,8.411595610623655
24,304,vla,x,1,15,1,8.411595610623655
25,7365,zaitun,zukini,1,15,1,8.411595610623655
28,19907,kristal,self,4,4,1,8.347057089486084
29,8743,cappucino,cincau,4,4,1,8.347057089486084
30,61155,kuini,mangga kweni,2,8,1,8.347057089486084
27,62142,kolang kaling,raspberry,16,1,1,8.347057089486084
26,19298,chia,delima,8,2,1,8.347057089486084
31,17681,rennet,susu sapi,2,9,1,8.2292740538297
32,21778,susu kedelai,susu sapi,2,9,1,8.2292740538297
33,13816,pindang,salem,3,6,1,8.2292740538297
34,38972,asam gelugur,bunga pepaya,9,2,1,8.2292740538297
35,20270,tomat hijau,tulang jambal roti,2,9,1,8.2292740538297
36,11359,edamame,fishcake,19,1,1,8.175206832559425
37,56307,sponge,whipped,1,19,1,8.175206832559425
41,40088,tomat hijau,utuhkan,2,10,1,8.123913538171875
42,19906,flour,self,5,4,1,8.123913538171875
39,54953,roll,spring,2,10,1,8.123913538171875
40,8750,cappucino,saset,4,5,1,8.123913538171875
38,17490,garing,ikan salai,4,5,1,8.123913538171875
43,17493,ikan salai,sundai,3,7,1,8.075123374002443
44,49306,melinjo hijau,melinjo merah,2,11,1,8.02860335836755
45,54621,barang,bread improver,23,1,1,7.984151595796716
53,59960,sirih,telunjuk,2,12,1,7.94159198137792
52,7450,pethek,tiwul,2,12,1,7.94159198137792
51,8962,daun mint,soda,2,12,1,7.94159198137792
