,Judul,Url,Bahan,Step,clean
0,Resep Ayam Panidar,https://resepkoki.id/resep/resep-ayam-panidar/,"Ayam, potong jadi 10 bagian  -  900 gram Garam  -  1/2 sdt Air jeruk nipis  -  2 sdm Serai, ambil bagian putih  -  2 batang Laos  -  5 cm Kunyit  -  2 cm Jahe  -  2 cm Bawang merah  -  10 butir Bawang putih  -  5 siung Cabai rawit merah  -  15 buah Andaliman  -  3 sdm Daun jeruk  -  2 lembar Kelapa parut sangrai  -  3 sdm Jeruk nipis ambil airnya  -  1 butir Air  -  secukupnya","Cuci bersih ayam kemudian marinasi dengan garam dan air jeruk nipis selama 30 menit.Panggang / bakar ayam hingga permukaan kering dan berwarna kecoklatan.Sangrai semua bumbu kemudian haluskan.Tumis bumbu yang telah dihaluskan, lalu tambahkan air dan didihkan.Masukkan kelapa sangrai. Setelah itu masukan garam dan jeruk nipis, aduk rata dan koreksi rasanya.Masukkan ayam aduk hingga bumbu rata. Masak hingga bumbu menyerap dan ayam empuk.Koreksi lagi rasanya, jika sudah pas dan meresap siap disajikan.","['cabai rawit merah', 'kelapa', 'ayam', 'andaliman', 'daun jeruk', 'jeruk nipis', 'jahe', 'kunyit', 'putih', 'bawang putih', 'bawang merah', 'serai', 'lengkuas']"
1,Resep Moring,https://resepkoki.id/resep/resep-moring/,"Tepung tapioka  -  150 gram Tepung terigu  -  100 gram Bawang putih, haluskan  -  2 siung Kaldu bubuk  -  1/2 sdt Seledri, cincang halus  -  2 tangkai Minyak goreng  -  2 sdm Air panas  -  250 ml Cabai bubuk (optional)  -  secukupnya","Campur tepung tapioka, terigu, bawang putih, garam, kaldu bubuk, dan seledri. Aduk hingga semuanya tercampur rata.Masukan air panas sedikit-sedikit, sambil diaduk dengan sendok kayu. Kemudian uleni sampai kalis dan bisa dibentuk.Bagi adonan menjadi beberapa bagian, bentuk adonan menjadi bulat memanjang.Rebus adonan dalam air mendidih yang sudah dicampur 2 sendok makan minyak goreng sampai mengapung dan matang.Dinginkan kemudian simpan di kulkas minimal 4 jam.Iris tipis moring yang sudah mengeras, kemudian goreng dalam minyak panas. Saat menggoreng jangan langsung diaduk, tunggu beberapa saat sampai moring agak mengering baru diaduk supaya tidak menempel satu sama lain.Taburi moring yang sudah matang dengan cabai bubuk jika suka pedas. Kocok merata dan perlahan agar moring tidak banyak pecah-pecah.","['tepung terigu', 'cabai bubuk', 'seledri', 'tepung tapioka', 'kaldu bubuk', 'bawang putih']"
2,Resep Serombotan Klungkung,https://resepkoki.id/resep/resep-serombotan-klungkung/,"Kangkung  -  1 ikat Kacang panjang  -  1 ikat Tauge  -  150 gram Terong bulat  -  2 buah Kelapa, parut  -  1/2 buah Bawang putih  -  1 siung Cabai merah besar  -  1 buah Cabai rawit  -  3 buah Kemiri  -  1 butir Kencur  -  1 ruas Gula merah  -  50 gram Garam  -  1/2 sdt Kacang tanah goreng  -  150 gram","Rebus masing-masing sayuran dengan sedikit garam secara terpisah kecuali terong bulat, angkat dan tiriskan.Bumbu Kelapa: Uleg atau haluskan semua bumbu untuk kelapa sampai halus, campur dengan kelapa parut, kemudian sangrai sampai kelapa sedikit kering.Bumbu Kacang: Haluskan bawang putih, cabai merah, cabai rawit, gula merah, garam, terasi bersama kacang tanah goreng.Setelah halus masukkan bumbu kacang di wajan, tambahkan air masak sampai mendidih dan mengental.Penyajian: Tata semua sayuran rebus di piring saji, taburi dengan bumbu kelapa dan bumbu kacang.","['tauge', 'kelapa', 'kacang tanah', 'kangkung', 'kacang', 'terong', 'cabai merah', 'cabai rawit', 'kemiri', 'bawang putih', 'merah', 'kencur']"
3,Resep Hurricane Cake Roll,https://resepkoki.id/resep/resep-hurricane-cake-roll/,"Kuning telur  -  4 butir Minyak goreng  -  40 ml Tepung terigu protein sedang  -  50 gram Putih telur  -  4 butir Gula pasir  -  60 gram Coklat bubuk, encerkan dengan sedikit air  -  15 gram Selai coklat  -  secukupnya  ","Bahan 1: Campur kuning telur dan susu cair, aduk rata menggunakan whisk, masukkan minyak goreng, aduk rata. Masukkan tepung terigu, aduk sampai licin.Bahan 2: Campur putih telur, air jeruk nipis, dan sebagian gula, kocok sampai berbusa, masukkan sisa gula pasir, kocok sampai soft peak.Campur kocokan putih telur (bahan 2) ke dalam adonan kuning telur (bahan 1) secara bertahap, aduk rata menggunakan spatula.Ambil 4 sendok sayur adonan, campur dengan coklat bubuk yang sudah diencerkan dengan sedikit air, aduk rata.Tuang adonan ke dalam loyang 22 x 22 cm yang sudah dialasi kertas roti.Kemudian tuang adonan coklat diatasnya, ratakan, kemudian buat motif menggunakan ujung gagang sendok makan, tarik garis Horizontal mulai dari pojok atas kiri ke kanan, kemudian ke kiri dan seterusnya sampai ke bawah.Setelah selesai hentakkan loyang perlahan untuk menghilangkan gelembung udara.","['tepung terigu', 'putih telur', 'kuning telur', 'coklat bubuk', 'cokelat']"
4,Resep Bolu Gulung Batik,https://resepkoki.id/resep/resep-bolu-gulung-batik/,"Telur  -  4 butir Gula pasir  -  70 gram Emulsifier  -  1/2 sdt Tepung maizena  -  10 gram Susu bubuk  -  10 gram Margarin, lelehkan  -  80 gram Pasta moka  -  1/2 sdt Coklat bubuk, encerkan dengan sedikit air  -  1 sdt Selai strawberry  -  secukupnya ","Kocok telur, gula pasir dan emulsifier sampai mengembang putih kental berjejak.Masukkan campuran tepung terigu, maizena, susu bubuk bertahap dengan cara diayak. Kocok dengan kecepatan rendah.Masukkan margarin leleh, aduk balik menggunakan spatula sampai rata. Pastikan tidak ada margarin yang mengendap di bawah.Ambil 2 sendok makan adonan, campur dengan pasta moka aduk rata. Ambil 5 sendok makan adonan, campur dengan coklat bubuk yang sudah diencerkan. Aduk rata masing-masing adonan.Tuang adonan ke dalam loyang yang sudah dioles margarin tipis dan dialasi kertas roti, hentakkan perlahan.Kemudian buat motif garis dengan menggunakan adonan coklat dan moka dengan diberi jarak. Kemudian buat motif zigzag di antara motif garis, kemudian tarik garis lurus pada motif zigzag tepat ditengah menggunakan tusuk sate.Panggang 170°C selama 30 menit api atas bawah, kemudian pindah api atas 5 menit dengan suhu yang sama.","['tepung maizena', 'pasta', 'susu bubuk', 'telur', 'moka', 'strawberry', 'coklat bubuk', 'margarin', 'emulsifier']"
5,Resep Toppa Lada,https://resepkoki.id/resep/resep-toppa-lada/,"Daging sapi  -  500 gram Cabai merah besar, potong serong  -  2 buah Serai  -  2 batang Daun salam  -  1 lembar Lengkuas  -  2 ruas Gula merah  -  2 sdm Garam  -  1 sdt Kaldu bubuk  -  1/2 sdt Air asam jawa  -  2 sdm Air  -  400 ml Bawang merah  -  8 butir Bawang putih  -  4 siung Cabai merah besar  -  8 buah Cabai rawit  -  5 buah","Cuci bersih daging, kemudian iris tipis, sisihkan.Haluskan semua bumbu halus, kemudian tumis bersama serai, daun jeruk, daun salam dan lengkuas sampai harum.Masukkan daging yang sudah diiris, masak hingga daging berubah warna. Kemudian tambahkan air dan masak sampai mendidih.Setelah mendidih masukkan air asam, garam, gula merah, dan kaldu bubuk, aduk rata.Masak dengan api kecil sampai daging matang, empuk dan kuah mengental. Sebelum diangkat masukkan irisan cabai, aduk rata.Toppa Lada siap diajikan.Jika menggunakan daging sapi selain lulur dalam, daging bisa direbus dulu sampai empuk baru kemudian dimasak.","['asam jawa', 'lengkuas', 'daun salam', 'cabai merah', 'cabai rawit', 'kaldu bubuk', 'bawang merah', 'serai', 'bawang putih', 'merah', 'daging sapi']"
6,Resep Napoleon Cake,https://resepkoki.id/resep/resep-napoleon-cake/,"Telur  -  5 butir Gula pasir  -  80 gram Emulsifier  -  3/4 sdt Tepung maizena  -  15 gram Susu bubuk  -  10 gram Margarin, lelehkan  -  100 gram Pasta pandan  -  1 sdt Kulit pastry, ukuran 6 x 25 cm  -  4 lembar Coklat leleh  -  secukupnya VLA COKLAT: Susu full cream cair  -  500 ml Dark cooking chocolate, cincang kecil  -  200 gram Maizena, encerkan dengan sedikit air  -  50 gram","Dalam wadah campur telur, gula pasir, dan emulsifier. Lalu kocok dengan mixer sampai mengembang putih kental berjejak.Masukkan tepung terigu, maizena dan susu bubuk dengan cara diayak secara bertahap. Kocok dengan kecepatan rendah sampai tercampur rata.Masukkan pasta pandan, kocok rata kemudian masukkan margarin leleh, kocok dengan kecepatan rendah atau aduk balik menggunakan spatula. Pastikan tidak ada endapan margarin di bawah.Tuang dalam 2 buah loyang 25 x 25 cm Panggang dengan suhu 170°C selama 30 menit sampai matang. Setelah matang dinginkan di cooling rack.Vla: Campur susu dan dark cooking chocolate, masak sampai mendidih dan coklat larut kemudian masukkan larutan maizena. Masak sampai mengental dan meletup. Sisihkan.Panggang kulit pastry 180°C selama 25 menit sampai matang. Sisihkan.Penyelesaian: Ambil satu lembar cake, olesi permukaannya dengan vla, letakkan pastry di bagian tengah kemudian oles dengan vla. Tumpuk dengan pastry lagi, kemudian gulung.","['tepung maizena', 'pasta', 'cooking', 'x', 'susu bubuk', 'telur', 'vla', 'pandan', 'kulit pastry', 'dark', 'tepung maizena', 'chocolate', 'cokelat', 'margarin', 'emulsifier', 'susu full cream']"
7,Resep Gatot Singkong,https://resepkoki.id/resep/resep-gatot-singkong/,Gaplek (singkong kering)  -  500 gram Kelapa parut  -  150 gram Garam  -  secukupnya ,"Rendam gaplek selama 1 malam, buang airnya kemudian cuci bersih.Potong-potong gaplek yang sudah dicuci, kemudian kukus selama 30 menit.Campur kelapa parut dengan sedikit garam, kukus 15 menit.Gulingkan gatot di kelapa parut yang sudah dikukus, taburi dengan gula pasir sesuai selera.Gatot singkong siap disajikan.1. Pilih singkong yang bagus kualitasnya, lalu kupas, potong dengan ukuran yang tidak terlalu panjang, belah dua dan buang batangnya. Jemur di udara terbuka pagi hingga petang selama 2 hari. Biarkan dalam cuaca panas atau hujan, biarkan menjamur dan berubah warna jadi menghitam.","['gaplek', 'kelapa', 'kering', 'singkong']"
8,Resep Lawar Ayam,https://resepkoki.id/resep/resep-lawar-ayam/,"Daging ayam rebus, suwir suwir  -  150 gram Kelapa parut  -  150 gram Kacang panjang, potong kecil  -  1/2 ikat Bawang goreng  -  secukupnya Bawang merah  -  5 butir Bawang putih  -  3 siung Cabai merah besar  -  1 buah Cabai rawit, iris tipis  -  5 buah Kunyit  -  1 ruas Kencur  -  1 ruas Jahe, geprek   -  2 ruas Lengkuas, geprek  -  2 ruas Serai, geprek  -  2 batang Kemiri  -  4 butir","Haluskan bumbu, tumis bersama jahe, lengkuas serai, daun jeruk, cabai sampai harum.Masukkan kelapa parut, dan ayam rebus yang sudah disuwir, masak hingga tercampur rata.Masukkan kacang panjang aduk rata, kucuri dengan jeruk limau, angkat.Taburi lawar ayam dengan bawang goreng sesuai selera, lawar ayam siap disajikan.","['kelapa', 'bawang', 'lengkuas', 'kacang', 'cabai merah', 'cabai rawit', 'kunyit', 'jahe', 'ayam', 'kemiri', 'bawang putih', 'bawang merah', 'serai', 'kencur']"
9,Resep Martabak Kari,https://resepkoki.id/resep/resep-martabak-kari/,"Tepung protein tinggi  -  200 gram Garam  -  1/2 sdt Air  -  100 ml Minyak goreng, untuk merendam adonan  -  secukupnya Telur ayam  -  4 butir Daging sapi, potong kecil  -  150 gram Kentang, kukus tumbuk kasar  -  2 buah Kayu manis  -  1 batang Bunga lawang  -  2 buah Kapulaga  -  2 butir Cengkeh  -  4 butir Daun kari  -  1 batang","Kulit: Campur terigu, garam dan minyak, masukkan air ke tepung terigu, uleni hingga kalis.Bagi adonan menjadi 4 bagian, bulatkan adonan kemudian rendam dalam minyak sampai semua adonan terendam. Diamkan 1 jam.Ambil 1 buah adonan kulit, tipiskan kemudian isi dengan 1 butir telur utuh, lipat adonan seperti amplop. Kemudian langsung goreng hingga kedua sisinya kecoklatan. Lakukan sampai habis.Kuah Kari: Haluskan semua bahan bumbu halus, tumis bersama kayu manis, bunga lawang, kapulaga, cengkeh, dan daun kari sampai harum. Masukkan daging sapi, masak sampai berubah warna.Masukkan santan, aduk rata, bumbui dengan garam dan gula sesuai selera. Masak sampai daging empuk.Masukkan kentang, aduk rata masak sampai kuah mengental.Sajikan martabak dengan disiram kuah kari.","['telur ayam', 'kayu manis', 'bunga lawang', 'cengkeh', 'daun kari', 'tepung', 'kentang', 'kapulaga', 'daging sapi']"
